order_id,customer_id,product_id,order_date,quantity,unit_price,discount,shipping_cost,region,sales_channel,payment_method
O000040,C02317,P0085,2024-06-02,1,128.94,0.0,11.94,South,Online,Credit Card
O000041,C01268,P0058,2024-10-22,2,524.63,0.0,2.58,East,Partner,Debit Card
O000042,C01037,P0002,2025-04-14,2,1224.79,0.05,16.18,South,Online,Credit Card
O000043,C02022,P0031,2024-08-10,2,350.4,0.05,4.29,East,Online,Bank Transfer
O000044,C02459,P0001,2024-09-07,4,171.14,0.0,3.6,East,Retail Store,Debit Card
O000045,C00608,P0008,2025-10-30,1,967.68,0.0,9.95,South,Partner,PayPal
O000046,C00360,P0007,2024-04-21,1,787.65,0.0,16.25,East,Online,PayPal
O000047,C02437,P0074,2025-07-29,1,18.14,0.05,23.46,South,Retail Store,PayPal
O000048,C00382,P0039,2024-11-26,1,393.4,0.05,21.47,West,Retail Store,Bank Transfer
O000049,C00266,P0038,2025-04-27,1,323.52,0.15,14.36,West,Partner,PayPal
O000050,C02149,P0027,2025-12-13,1,319.74,0.0,13.38,East,Online,Credit Card
O000051,C02478,P0037,2025-03-13,2,147.84,0.0,23.36,West,Online,PayPal
O000052,C02305,P0064,2025-06-16,3,131.5,0.05,22.38,Central,Online,Debit Card
O000053,C00954,P0038,2024-07-17,1,323.52,0.0,19.09,Central,Online,Credit Card
O000054,C00850,P0079,2025-02-28,1,95.49,0.0,2.75,West,Online,Debit Card
O000055,C00825,P0037,2024-09-17,3,147.84,0.0,19.76,East,Online,PayPal
O000056,C00467,P0088,2024-12-07,1,89.32,0.15,21.22,South,Online,Credit Card
O000057,C00795,P0043,2024-12-12,4,255.64,0.05,17.03,North,Partner,Credit Card
O000058,C01973,P0020,2025-10-04,2,797.9,0.2,12.91,South,Online,PayPal
O000059,C01696,P0008,2025-06-17,1,967.68,0.15,7.19,North,Retail Store,Credit Card
O000060,C01359,P0046,2024-03-08,5,527.57,0.0,24.63,South,Retail Store,PayPal
O000061,C02189,P0022,2025-08-07,2,910.71,0.0,18.37,West,Online,PayPal
O000062,C01289,P0005,2024-10-05,1,916.2,0.05,12.67,North,Partner,PayPal
O000063,C01240,P0028,2025-06-21,1,406.01,0.0,20.0,North,Online,Credit Card
O000064,C00380,P0057,2025-06-02,1,363.62,0.05,6.78,South,Partner,Debit Card
O000065,C01981,P0068,2024-11-13,3,236.64,0.0,21.0,North,Retail Store,Credit Card
O000066,C02115,P0087,2024-05-15,1,50.59,0.0,2.59,West,Online,Credit Card
O000067,C00181,P0088,2025-08-31,4,89.32,0.0,4.82,South,Online,Credit Card
O000068,C01280,P0003,2025-08-14,3,377.97,0.15,7.01,East,Partner,PayPal
O000069,C01174,P0036,2025-06-29,1,250.91,0.05,5.86,South,Retail Store,PayPal
O000070,C01121,P0015,2024-01-16,5,959.82,0.1,14.71,Central,Online,Debit Card
O000071,C02251,P0041,2024-10-04,1,93.16,0.15,6.35,North,Retail Store,Debit Card
O000072,C01276,P0079,2024-12-12,2,95.49,0.0,22.82,North,Online,Bank Transfer
O000073,C00207,P0014,2025-01-27,1,1303.2,0.05,16.37,North,Online,Bank Transfer
O000074,C01280,P0043,2024-07-21,3,255.64,0.15,24.41,East,Retail Store,Credit Card
O000075,C01908,P0073,2024-05-14,1,162.4,0.2,4.69,South,Partner,Bank Transfer
O000076,C01272,P0088,2025-10-21,3,89.32,0.05,5.73,Central,Online,Debit Card
O000077,C01057,P0047,2025-02-05,1,601.35,0.15,12.7,West,Online,PayPal
O000078,C00124,P0009,2025-05-01,1,285.48,0.05,8.85,North,Online,Debit Card
O000079,C01428,P0078,2025-08-11,1,210.4,0.0,9.83,Central,Online,Credit Card
O000080,C00291,P0039,2025-06-29,2,393.4,0.1,14.83,North,Online,Debit Card
O000081,C01976,P0050,2024-03-08,1,668.03,0.2,20.15,Central,Retail Store,Bank Transfer
O000082,C01784,P0073,2024-12-16,2,162.4,0.0,19.14,West,Online,Credit Card
O000083,C02352,P0063,2024-04-27,2,117.97,0.05,21.0,Central,Online,Credit Card
O000084,C00722,P0040,2025-02-19,1,255.42,0.0,9.87,North,Retail Store,Bank Transfer
O000085,C00252,P0012,2024-08-10,3,436.24,0.1,19.53,South,Partner,Credit Card
O000086,C00612,P0058,2025-06-28,1,524.63,0.1,7.13,West,Online,Debit Card
O000087,C01297,P0039,2025-08-06,3,393.4,0.15,18.65,North,Online,Bank Transfer
O000088,C01411,P0012,2025-08-19,1,436.24,0.1,21.68,South,Online,Debit Card
O000089,C00256,P0048,2025-07-16,5,134.14,0.0,4.97,East,Retail Store,PayPal
O000090,C01156,P0004,2024-08-28,2,778.99,0.1,18.51,West,Online,PayPal
O000091,C01664,P0049,2025-03-21,2,63.33,0.15,6.74,East,Online,Debit Card
O000092,C01576,P0047,2025-03-03,1,601.35,0.2,2.76,North,Retail Store,Debit Card
O000093,C00065,P0019,2025-05-13,2,530.25,0.0,21.85,South,Online,Bank Transfer
O000094,C02476,P0055,2025-09-30,1,163.36,0.1,11.16,Central,Online,Bank Transfer
O000095,C00925,P0024,2025-03-10,2,774.35,0.1,18.52,East,Online,Debit Card
O000096,C01103,P0053,2025-07-13,2,316.62,0.0,18.36,Central,Partner,Bank Transfer
O000097,C00464,P0075,2025-05-08,5,44.45,0.0,12.96,East,Online,PayPal
O000098,C00321,P0067,2025-09-16,1,435.6,0.05,17.89,East,Retail Store,Credit Card
O000099,C02209,P0075,2024-11-15,2,44.45,0.0,13.05,South,Online,Credit Card
O000100,C02100,P0061,2025-08-10,3,549.96,0.05,9.01,East,Online,PayPal
O000101,C00145,P0077,2024-11-07,3,70.81,0.1,15.51,South,Online,Bank Transfer
O000102,C02347,P0007,2025-11-03,6,787.65,0.2,8.95,West,Retail Store,Credit Card
O000103,C00338,P0017,2025-06-01,1,1003.97,0.2,16.36,West,Online,Debit Card
O000104,C01128,P0033,2024-01-15,3,454.27,0.1,17.33,East,Online,Debit Card
O000105,C01515,P0023,2024-09-24,3,485.17,0.0,10.21,North,Online,Credit Card
O000106,C00346,P0019,2025-09-01,5,530.25,0.0,19.83,West,Retail Store,Bank Transfer
O000107,C00975,P0085,2025-03-26,3,128.94,0.0,3.72,North,Online,PayPal
O000108,C01083,P0015,2024-02-23,1,959.82,0.05,19.29,East,Online,Bank Transfer
O000109,C02182,P0030,2025-01-23,2,490.45,0.05,14.43,South,Online,Debit Card
O000110,C01781,P0002,2024-10-22,4,1224.79,0.05,24.14,North,Online,PayPal
O000111,C00169,P0013,2025-06-28,2,310.93,0.2,10.04,North,Online,PayPal
O000112,C01094,P0013,2024-09-18,2,310.93,0.05,19.02,East,Online,Debit Card
O000113,C02412,P0025,2025-06-16,1,27.18,0.15,14.82,North,Partner,PayPal
O000114,C00035,P0009,2024-01-13,1,285.48,0.1,10.41,Central,Online,Bank Transfer
O000115,C01161,P0033,2024-07-16,1,454.27,0.1,23.89,Central,Online,Debit Card
O000116,C00499,P0016,2024-03-29,4,377.26,0.0,22.66,Central,Online,Debit Card
O000117,C00755,P0033,2024-10-28,2,454.27,0.0,19.81,North,Retail Store,PayPal
O000118,C01325,P0033,2024-06-14,3,454.27,0.0,11.24,Central,Retail Store,Bank Transfer
O000119,C00247,P0034,2024-09-28,1,186.26,0.0,16.23,East,Online,Debit Card
O000120,C00731,P0083,2025-05-18,1,64.02,0.1,16.31,North,Retail Store,Debit Card
O000121,C00436,P0057,2024-09-22,1,363.62,0.0,19.99,West,Online,PayPal
O000122,C00077,P0064,2024-06-01,2,131.5,0.0,8.49,West,Partner,Bank Transfer
O000123,C01351,P0051,2025-08-11,1,320.03,0.15,13.26,Central,Partner,Bank Transfer
O000124,C01655,P0009,2025-07-07,1,285.48,0.05,5.23,North,Partner,Bank Transfer
O000125,C02193,P0046,2024-12-07,2,527.57,0.05,10.72,West,Online,Credit Card
O000126,C01393,P0011,2025-04-15,3,620.88,0.0,14.98,North,Retail Store,Debit Card
O000127,C01574,P0085,2024-07-14,1,128.94,0.05,13.45,Central,Partner,PayPal
O000128,C01794,P0025,2024-05-23,1,27.18,0.0,13.51,West,Retail Store,Debit Card
O000129,C00259,P0070,2025-10-20,1,123.58,0.1,24.25,East,Partner,Bank Transfer
O000130,C00068,P0005,2024-12-13,1,916.2,0.2,5.16,Central,Retail Store,Bank Transfer
O000131,C02143,P0059,2025-11-25,4,534.37,0.1,23.31,West,Online,Debit Card
O000132,C00152,P0019,2025-05-15,2,530.25,0.05,7.96,South,Partner,Credit Card
O000133,C00535,P0002,2024-06-25,2,1224.79,0.0,12.76,West,Retail Store,Credit Card
O000134,C00700,P0076,2024-03-06,3,145.15,0.0,3.92,East,Online,Debit Card
O000135,C00831,P0055,2024-12-11,3,163.36,0.15,5.22,South,Retail Store,PayPal
O000136,C02360,P0070,2024-05-20,1,123.58,0.2,15.84,North,Online,Credit Card
O000137,C01375,P0009,2024-05-03,1,285.48,0.2,14.95,South,Online,PayPal
O000138,C01797,P0032,2025-08-18,1,175.67,0.0,20.0,West,Retail Store,Bank Transfer
O000139,C00065,P0063,2024-03-23,1,117.97,0.0,11.87,South,Partner,PayPal
O000140,C01950,P0017,2024-07-30,1,1003.97,0.0,7.88,East,Online,Bank Transfer
O000141,C00715,P0079,2025-12-09,1,95.49,0.0,16.61,South,Retail Store,Credit Card
O000142,C01234,P0045,2025-03-04,1,149.31,0.0,16.43,North,Online,Credit Card
O000143,C02211,P0065,2024-08-12,2,179.07,0.15,3.69,West,Retail Store,PayPal
O000144,C00462,P0020,2025-12-02,3,797.9,0.05,17.58,West,Online,Debit Card
O000145,C00177,P0007,2025-10-22,1,787.65,0.0,16.38,West,Online,PayPal
O000146,C01857,P0006,2024-04-16,3,877.9,0.1,13.41,West,Online,Credit Card
O000147,C00476,P0010,2024-08-28,3,366.28,0.1,6.97,Central,Online,Bank Transfer
O000148,C01335,P0030,2024-04-22,1,490.45,0.0,22.07,Central,Online,Bank Transfer
O000149,C01539,P0029,2024-03-16,2,306.49,0.05,5.76,North,Online,Bank Transfer
O000150,C02497,P0059,2024-07-01,1,534.37,0.0,16.72,East,Online,Debit Card
O000151,C01105,P0026,2024-12-09,1,141.49,0.15,5.57,Central,Online,PayPal
O000152,C01907,P0059,2025-03-04,1,534.37,0.0,16.08,Central,Online,PayPal
O000153,C00697,P0074,2025-07-20,4,18.14,0.0,21.9,South,Online,Bank Transfer
O000154,C00887,P0076,2025-04-29,3,145.15,0.0,19.06,West,Online,Bank Transfer
O000155,C01011,P0032,2024-12-01,2,175.67,0.0,23.06,South,Partner,Debit Card
O000156,C00021,P0054,2024-02-15,1,289.95,0.05,12.08,West,Retail Store,Credit Card
O000157,C01616,P0062,2025-12-14,3,692.95,0.05,15.07,West,Online,Credit Card
O000158,C00051,P0053,2024-08-11,1,316.62,0.0,2.86,Central,Online,Credit Card
O000159,C01249,P0021,2025-12-21,2,747.29,0.1,24.47,Central,Retail Store,Credit Card
O000160,C01900,P0018,2025-12-21,1,159.0,0.2,18.34,West,Partner,Bank Transfer
O000161,C00006,P0081,2024-03-13,1,51.36,0.15,9.17,North,Online,Credit Card
O000162,C01106,P0079,2025-07-09,2,95.49,0.0,16.46,North,Retail Store,Credit Card
O000163,C01376,P0008,2025-06-11,5,967.68,0.15,5.0,Central,Online,Credit Card
O000164,C01498,P0060,2025-09-25,1,227.84,0.0,15.12,East,Online,Credit Card
O000165,C00839,P0018,2024-12-08,1,159.0,0.0,19.45,East,Retail Store,Debit Card
O000166,C00924,P0042,2024-12-27,4,68.63,0.1,3.73,West,Retail Store,PayPal
O000167,C01528,P0045,2025-04-08,2,149.31,0.1,18.47,South,Retail Store,Bank Transfer
O000168,C02183,P0038,2025-04-07,2,323.52,0.2,6.74,North,Retail Store,Credit Card
O000169,C01876,P0012,2024-03-23,1,436.24,0.0,4.96,East,Online,Credit Card
O000170,C01131,P0015,2025-12-14,1,959.82,0.0,9.1,West,Partner,Credit Card
O000171,C02218,P0017,2025-04-30,1,1003.97,0.05,9.06,South,Retail Store,Credit Card
O000172,C00258,P0003,2024-08-25,3,377.97,0.1,15.52,West,Retail Store,Bank Transfer
O000173,C01337,P0063,2025-08-30,2,117.97,0.1,12.81,North,Retail Store,Bank Transfer
O000174,C02324,P0017,2024-11-09,1,1003.97,0.0,24.34,South,Online,PayPal
O000175,C00194,P0019,2024-12-27,1,530.25,0.0,18.52,West,Retail Store,Debit Card
O000176,C01169,P0024,2024-06-28,3,774.35,0.15,6.13,North,Partner,Debit Card
O000177,C00479,P0006,2024-11-20,2,877.9,0.05,7.12,Central,Online,Debit Card
O000178,C00143,P0086,2024-11-20,5,172.17,0.0,14.51,East,Online,Debit Card
O000179,C00498,P0004,2025-02-18,5,778.99,0.2,23.38,North,Online,Bank Transfer
O000180,C00640,P0001,2025-07-13,5,171.14,0.0,13.16,South,Retail Store,PayPal
O000181,C01188,P0074,2025-11-13,1,18.14,0.1,10.12,North,Retail Store,Bank Transfer
O000182,C00461,P0062,2024-02-11,1,692.95,0.1,11.54,North,Online,Credit Card
O000183,C00903,P0058,2024-12-31,1,524.63,0.0,15.63,North,Retail Store,Debit Card
O000184,C00910,P0036,2024-07-19,1,250.91,0.1,24.46,South,Retail Store,Credit Card
O000185,C01616,P0025,2025-05-17,1,27.18,0.1,22.94,West,Online,Credit Card
O000186,C01479,P0051,2024-05-31,3,320.03,0.05,2.77,West,Online,PayPal
O000187,C01413,P0045,2024-11-11,5,149.31,0.2,18.88,South,Online,Debit Card
O000188,C01820,P0054,2025-03-29,1,289.95,0.2,18.89,South,Retail Store,Bank Transfer
O000189,C01697,P0018,2025-08-24,2,159.0,0.0,24.74,North,Online,Bank Transfer
O000190,C02152,P0043,2024-03-08,5,255.64,0.1,2.65,North,Retail Store,Credit Card
O000191,C01120,P0054,2024-06-28,2,289.95,0.15,6.98,North,Online,Debit Card
O000192,C01564,P0038,2025-07-21,2,323.52,0.2,13.62,South,Retail Store,PayPal
O000193,C01899,P0029,2024-01-28,3,306.49,0.0,5.29,South,Online,Bank Transfer
O000194,C01179,P0054,2024-07-02,2,289.95,0.15,5.19,West,Retail Store,Credit Card
O000195,C01136,P0064,2024-03-09,2,131.5,0.0,22.04,North,Online,Bank Transfer
O000196,C01950,P0016,2025-01-17,2,377.26,0.1,6.16,East,Online,PayPal
O000197,C00240,P0019,2024-11-23,2,530.25,0.15,3.69,North,Online,Debit Card
O000198,C01480,P0054,2025-10-13,4,289.95,0.0,14.42,East,Online,PayPal
O000199,C00315,P0066,2024-07-17,3,718.11,0.0,14.73,Central,Retail Store,Debit Card
O000200,C01296,P0088,2024-11-04,1,89.32,0.15,14.52,South,Retail Store,Credit Card
O000201,C01441,P0019,2024-01-14,1,530.25,0.0,11.77,Central,Online,Bank Transfer
O000202,C00668,P0014,2024-08-11,1,1303.2,0.0,11.89,North,Retail Store,Credit Card
O000203,C00313,P0015,2024-05-14,4,959.82,0.05,5.63,North,Online,PayPal
O000204,C01811,P0077,2025-06-19,3,70.81,0.0,3.15,West,Online,PayPal
O000205,C00486,P0029,2024-05-11,4,306.49,0.0,5.32,Central,Retail Store,PayPal
O000206,C00534,P0011,2025-03-11,2,620.88,0.2,19.93,East,Online,Credit Card
O000207,C01767,P0006,2024-07-20,1,877.9,0.2,13.05,West,Retail Store,Credit Card
O000208,C01037,P0006,2024-03-08,1,877.9,0.0,23.2,South,Retail Store,Credit Card
O000209,C00842,P0076,2024-07-23,1,145.15,0.0,21.53,West,Online,Debit Card
O000210,C01137,P0075,2024-12-22,1,44.45,0.2,13.86,Central,Online,Debit Card
O000211,C00280,P0013,2025-08-15,3,310.93,0.1,24.2,West,Online,Debit Card
O000212,C00704,P0069,2024-01-05,5,30.77,0.0,10.75,North,Partner,Bank Transfer
O000213,C02415,P0024,2025-03-26,2,774.35,0.0,24.58,East,Online,PayPal
O000214,C01738,P0028,2025-06-10,1,406.01,0.0,5.28,North,Retail Store,PayPal
O000215,C00452,P0067,2024-05-19,2,435.6,0.0,4.35,East,Retail Store,Credit Card
O000216,C02023,P0015,2025-01-29,1,959.82,0.1,7.58,Central,Retail Store,Bank Transfer
O000217,C01669,P0038,2025-03-14,1,323.52,0.0,23.63,North,Partner,Bank Transfer
O000218,C01506,P0023,2024-01-14,6,485.17,0.05,12.36,East,Retail Store,Bank Transfer
O000219,C00349,P0016,2024-05-26,1,377.26,0.15,19.18,South,Online,Credit Card
O000220,C00692,P0009,2025-01-07,5,285.48,0.0,5.26,East,Online,Bank Transfer
O000221,C01740,P0064,2024-10-12,3,131.5,0.2,19.52,East,Online,PayPal
O000222,C01640,P0046,2025-05-02,2,527.57,0.05,5.82,Central,Partner,PayPal
O000223,C01863,P0014,2024-05-05,1,1303.2,0.05,3.17,North,Online,Debit Card
O000224,C00217,P0009,2025-05-25,2,285.48,0.0,5.94,South,Online,PayPal
O000225,C00395,P0010,2025-11-07,3,366.28,0.2,7.04,South,Online,Bank Transfer
O000226,C02040,P0063,2025-05-31,1,117.97,0.0,23.93,South,Retail Store,Credit Card
O000227,C00130,P0056,2024-05-01,1,239.61,0.0,12.84,East,Partner,Bank Transfer
O000228,C00135,P0023,2025-07-24,2,485.17,0.2,13.56,Central,Online,Debit Card
O000229,C00551,P0040,2025-02-02,2,255.42,0.0,17.35,East,Online,Bank Transfer
O000230,C02210,P0074,2025-04-26,2,18.14,0.2,11.31,Central,Online,Credit Card
O000231,C02027,P0076,2025-01-21,2,145.15,0.0,9.71,West,Retail Store,PayPal
O000232,C00116,P0076,2024-02-16,1,145.15,0.0,19.72,Central,Online,Credit Card
O000233,C01398,P0049,2024-04-09,2,63.33,0.0,17.38,South,Online,Credit Card
O000234,C01015,P0031,2025-10-25,1,350.4,0.0,22.05,West,Partner,Credit Card
O000235,C00469,P0044,2024-06-22,1,236.62,0.0,15.28,South,Online,Bank Transfer
O000236,C01726,P0035,2024-01-21,2,137.3,0.1,11.0,North,Online,PayPal
O000237,C01599,P0042,2025-08-09,1,68.63,0.05,10.06,North,Online,Debit Card
O000238,C02060,P0086,2024-12-13,1,172.17,0.0,7.04,East,Online,Bank Transfer
O000239,C00309,P0069,2024-08-07,1,30.77,0.0,20.6,West,Online,Bank Transfer
O000240,C00377,P0075,2024-04-07,2,44.45,0.0,12.11,Central,Online,Bank Transfer
O000241,C01423,P0010,2025-10-29,3,366.28,0.1,17.43,North,Retail Store,Bank Transfer
O000242,C01284,P0026,2025-02-28,1,141.49,0.1,22.32,North,Online,Debit Card
O000243,C02115,P0024,2025-08-13,2,774.35,0.15,8.53,West,Partner,Bank Transfer
O000244,C02183,P0079,2025-03-20,5,95.49,0.15,10.7,North,Retail Store,Debit Card
O000245,C00606,P0031,2024-06-03,3,350.4,0.2,11.73,East,Online,Bank Transfer
O000246,C00264,P0082,2024-07-27,3,167.02,0.0,8.27,East,Retail Store,Debit Card
O000247,C02463,P0031,2025-02-19,1,350.4,0.0,20.43,West,Online,Debit Card
O000248,C01272,P0060,2025-05-12,2,227.84,0.05,7.04,Central,Online,Credit Card
O000249,C01118,P0018,2024-01-30,1,159.0,0.2,17.0,Central,Online,Debit Card
O000250,C00173,P0063,2024-01-21,1,117.97,0.0,22.01,East,Online,PayPal
O000251,C01668,P0047,2025-11-18,2,601.35,0.0,7.81,Central,Online,Debit Card
O000252,C02339,P0065,2024-05-03,2,179.07,0.2,13.67,North,Online,PayPal
O000253,C00370,P0031,2025-09-06,1,350.4,0.2,20.63,North,Online,Bank Transfer
O000254,C00967,P0055,2024-08-11,1,163.36,0.0,12.39,West,Online,PayPal
O000255,C01042,P0076,2024-02-27,2,145.15,0.0,9.62,West,Retail Store,Credit Card
O000256,C01736,P0061,2025-11-30,1,549.96,0.0,10.67,Central,Partner,Debit Card
O000257,C01507,P0040,2024-01-22,2,255.42,0.1,18.04,East,Online,Credit Card
O000258,C00982,P0033,2025-07-19,1,454.27,0.15,22.82,West,Partner,PayPal
O000259,C00500,P0069,2024-08-30,4,30.77,0.05,23.37,Central,Online,Bank Transfer
O000260,C01047,P0039,2024-04-02,5,393.4,0.2,21.84,South,Online,Debit Card
O000261,C00657,P0057,2025-10-08,1,363.62,0.2,20.26,South,Retail Store,Bank Transfer
O000262,C01123,P0011,2025-05-18,2,620.88,0.05,18.64,Central,Partner,PayPal
O000263,C00412,P0021,2025-12-16,1,747.29,0.0,12.7,Central,Online,PayPal
O000264,C00113,P0007,2025-10-18,2,787.65,0.15,2.57,Central,Online,Debit Card
O000265,C00820,P0081,2024-11-08,1,51.36,0.0,14.12,South,Online,Debit Card
O000266,C00533,P0077,2025-12-03,1,70.81,0.0,8.37,Central,Online,Debit Card
O000267,C02430,P0042,2024-10-15,1,68.63,0.05,22.22,Central,Online,Bank Transfer
O000268,C02337,P0029,2024-01-22,5,306.49,0.1,22.9,East,Retail Store,Debit Card
O000269,C01895,P0026,2024-09-25,3,141.49,0.0,16.01,East,Online,Bank Transfer
O000270,C00612,P0012,2025-01-11,1,436.24,0.1,19.9,West,Online,Bank Transfer
O000271,C01859,P0087,2025-05-21,1,50.59,0.15,8.98,Central,Online,PayPal
O000272,C02025,P0049,2024-05-13,2,63.33,0.0,18.85,East,Retail Store,PayPal
O000273,C00776,P0054,2024-07-03,1,289.95,0.0,7.8,North,Online,PayPal
O000274,C01848,P0032,2025-01-13,2,175.67,0.15,13.05,North,Online,Credit Card
O000275,C01325,P0051,2025-12-04,1,320.03,0.05,4.14,Central,Retail Store,PayPal
O000276,C02282,P0008,2024-02-23,1,967.68,0.0,24.93,South,Online,PayPal
O000277,C02451,P0006,2024-01-06,1,877.9,0.1,17.6,South,Online,Bank Transfer
O000278,C00542,P0072,2024-02-12,2,12.41,0.0,23.43,West,Online,Bank Transfer
O000279,C01918,P0017,2024-04-01,1,1003.97,0.1,5.13,West,Online,PayPal
O000280,C00181,P0017,2025-05-26,4,1003.97,0.2,23.34,South,Online,PayPal
O000281,C01159,P0034,2025-09-19,3,186.26,0.0,22.59,Central,Online,Bank Transfer
O000282,C01293,P0063,2024-06-03,2,117.97,0.15,3.7,East,Retail Store,Bank Transfer
O000283,C00609,P0007,2024-08-23,1,787.65,0.05,12.32,East,Online,Bank Transfer
O000284,C02028,P0006,2025-03-28,1,877.9,0.15,13.59,Central,Online,Bank Transfer
O000285,C00607,P0016,2024-12-23,1,377.26,0.2,19.37,South,Online,Debit Card
O000286,C01118,P0073,2025-11-10,2,162.4,0.1,14.34,Central,Partner,Credit Card
O000287,C02338,P0024,2025-03-02,4,774.35,0.0,22.47,South,Retail Store,Credit Card
O000288,C00107,P0037,2025-11-28,6,147.84,0.0,21.33,East,Online,Credit Card
O000289,C00630,P0004,2024-03-24,2,778.99,0.15,16.64,South,Retail Store,Bank Transfer
O000290,C01104,P0077,2025-11-04,1,70.81,0.0,9.81,Central,Retail Store,Bank Transfer
O000291,C02332,P0017,2024-08-04,4,1003.97,0.2,20.46,North,Retail Store,PayPal
O000292,C00290,P0071,2025-09-08,1,111.79,0.05,24.21,West,Online,Debit Card
O000293,C01634,P0012,2024-01-22,4,436.24,0.0,8.91,West,Online,Bank Transfer
O000294,C00632,P0016,2024-11-01,2,377.26,0.05,22.83,Central,Retail Store,PayPal
O000295,C02472,P0017,2025-01-02,2,1003.97,0.2,13.52,Central,Online,Debit Card
O000296,C01590,P0061,2024-10-01,2,549.96,0.05,20.75,West,Online,Bank Transfer
O000297,C00764,P0056,2025-10-07,2,239.61,0.0,17.72,West,Online,Bank Transfer
O000298,C00636,P0064,2025-06-23,2,131.5,0.1,12.34,East,Online,Bank Transfer
O000299,C01957,P0039,2024-06-01,6,393.4,0.15,14.27,West,Partner,Debit Card
O000300,C01211,P0073,2024-02-18,2,162.4,0.0,11.79,East,Online,Bank Transfer
O000301,C01904,P0085,2025-08-05,3,128.94,0.0,19.79,North,Online,Credit Card
O000302,C00067,P0015,2025-11-08,2,959.82,0.2,3.52,North,Online,Bank Transfer
O000303,C01705,P0039,2024-11-17,2,393.4,0.05,16.54,East,Retail Store,Bank Transfer
O000304,C01086,P0044,2024-07-10,1,236.62,0.0,22.11,East,Retail Store,PayPal
O000305,C00436,P0056,2025-07-01,1,239.61,0.05,17.26,West,Online,Debit Card
